ATTRIBUTES:

Attribute #1:C:\Probestation\Probestation data\ElFys\ElFys_HFCV.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:5V  08/23/2022  12:32:37
DATE:08/23/2022
TIME:12:32:37

CONDITIONS:

ID:		
UNIT:	CMH	
MODE: SWEEP	
START:	-5	
STOP:	0.1	
PNTS:	103	
STEP:	0.05

ID:		
UNIT:	CML	
MODE: CONST	
VALUE:	0

DATA:  5V  08/23/2022  12:32:37

BIAS	C	FREQUENCY	OSC_LEVEL
-5.00000000E+000	1.22300000E-011	1.00000000E+005	1.00000000E-002
-4.94999981E+000	1.22200002E-011	1.00000000E+005	1.00000000E-002
-4.89999962E+000	1.24799997E-011	1.00000000E+005	1.00000000E-002
-4.84999943E+000	1.26000000E-011	1.00000000E+005	1.00000000E-002
-4.79999924E+000	1.27300002E-011	1.00000000E+005	1.00000000E-002
-4.74999905E+000	1.25400003E-011	1.00000000E+005	1.00000000E-002
-4.69999886E+000	1.27300002E-011	1.00000000E+005	1.00000000E-002
-4.64999866E+000	1.26000000E-011	1.00000000E+005	1.00000000E-002
-4.59999847E+000	1.27900000E-011	1.00000000E+005	1.00000000E-002
-4.54999828E+000	1.26699996E-011	1.00000000E+005	1.00000000E-002
-4.49999809E+000	1.28899998E-011	1.00000000E+005	1.00000000E-002
-4.44999790E+000	1.33099998E-011	1.00000000E+005	1.00000000E-002
-4.39999771E+000	1.33000000E-011	1.00000000E+005	1.00000000E-002
-4.34999752E+000	1.33400001E-011	1.00000000E+005	1.00000000E-002
-4.29999733E+000	1.33000000E-011	1.00000000E+005	1.00000000E-002
-4.24999714E+000	1.34099997E-011	1.00000000E+005	1.00000000E-002
-4.19999695E+000	1.31100001E-011	1.00000000E+005	1.00000000E-002
-4.14999676E+000	1.34300002E-011	1.00000000E+005	1.00000000E-002
-4.09999657E+000	1.36600002E-011	1.00000000E+005	1.00000000E-002
-4.04999638E+000	1.34599996E-011	1.00000000E+005	1.00000000E-002
-3.99999642E+000	1.37600001E-011	1.00000000E+005	1.00000000E-002
-3.94999647E+000	1.36700000E-011	1.00000000E+005	1.00000000E-002
-3.89999652E+000	1.37100001E-011	1.00000000E+005	1.00000000E-002
-3.84999657E+000	1.40199996E-011	1.00000000E+005	1.00000000E-002
-3.79999661E+000	1.42600003E-011	1.00000000E+005	1.00000000E-002
-3.74999666E+000	1.38699998E-011	1.00000000E+005	1.00000000E-002
-3.69999671E+000	1.39000001E-011	1.00000000E+005	1.00000000E-002
-3.64999676E+000	1.41700002E-011	1.00000000E+005	1.00000000E-002
-3.59999681E+000	1.43100002E-011	1.00000000E+005	1.00000000E-002
-3.54999685E+000	1.45600008E-011	1.00000000E+005	1.00000000E-002
-3.49999690E+000	1.44600000E-011	1.00000000E+005	1.00000000E-002
-3.44999695E+000	1.45100000E-011	1.00000000E+005	1.00000000E-002
-3.39999700E+000	1.48199994E-011	1.00000000E+005	1.00000000E-002
-3.34999704E+000	1.48800000E-011	1.00000000E+005	1.00000000E-002
-3.29999709E+000	1.43700000E-011	1.00000000E+005	1.00000000E-002
-3.24999714E+000	1.48199994E-011	1.00000000E+005	1.00000000E-002
-3.19999719E+000	1.53500008E-011	1.00000000E+005	1.00000000E-002
-3.14999723E+000	1.52900002E-011	1.00000000E+005	1.00000000E-002
-3.09999728E+000	1.51400004E-011	1.00000000E+005	1.00000000E-002
-3.04999733E+000	1.52099999E-011	1.00000000E+005	1.00000000E-002
-2.99999738E+000	1.56800007E-011	1.00000000E+005	1.00000000E-002
-2.94999743E+000	1.56599993E-011	1.00000000E+005	1.00000000E-002
-2.89999747E+000	1.54799992E-011	1.00000000E+005	1.00000000E-002
-2.84999752E+000	1.59000001E-011	1.00000000E+005	1.00000000E-002
-2.79999757E+000	1.61300001E-011	1.00000000E+005	1.00000000E-002
-2.74999762E+000	1.61199994E-011	1.00000000E+005	1.00000000E-002
-2.69999766E+000	1.60900009E-011	1.00000000E+005	1.00000000E-002
-2.64999771E+000	1.62999995E-011	1.00000000E+005	1.00000000E-002
-2.59999776E+000	1.65900002E-011	1.00000000E+005	1.00000000E-002
-2.54999781E+000	1.67700003E-011	1.00000000E+005	1.00000000E-002
-2.49999785E+000	1.68299992E-011	1.00000000E+005	1.00000000E-002
-2.44999790E+000	1.69099994E-011	1.00000000E+005	1.00000000E-002
-2.39999795E+000	1.67200004E-011	1.00000000E+005	1.00000000E-002
-2.34999800E+000	1.71899994E-011	1.00000000E+005	1.00000000E-002
-2.29999804E+000	1.69800007E-011	1.00000000E+005	1.00000000E-002
-2.24999809E+000	1.73000000E-011	1.00000000E+005	1.00000000E-002
-2.19999814E+000	1.79599998E-011	1.00000000E+005	1.00000000E-002
-2.14999819E+000	1.75900006E-011	1.00000000E+005	1.00000000E-002
-2.09999824E+000	1.81799992E-011	1.00000000E+005	1.00000000E-002
-2.04999828E+000	1.81500006E-011	1.00000000E+005	1.00000000E-002
-1.99999833E+000	1.86000000E-011	1.00000000E+005	1.00000000E-002
-1.94999838E+000	1.87699994E-011	1.00000000E+005	1.00000000E-002
-1.89999843E+000	1.90799997E-011	1.00000000E+005	1.00000000E-002
-1.84999847E+000	1.94000007E-011	1.00000000E+005	1.00000000E-002
-1.79999852E+000	1.94000007E-011	1.00000000E+005	1.00000000E-002
-1.74999857E+000	1.96000004E-011	1.00000000E+005	1.00000000E-002
-1.69999862E+000	1.99999999E-011	1.00000000E+005	1.00000000E-002
-1.64999866E+000	2.04999993E-011	1.00000000E+005	1.00000000E-002
-1.59999871E+000	2.02999995E-011	1.00000000E+005	1.00000000E-002
-1.54999876E+000	2.09000005E-011	1.00000000E+005	1.00000000E-002
-1.49999881E+000	2.12000001E-011	1.00000000E+005	1.00000000E-002
-1.44999886E+000	2.16999994E-011	1.00000000E+005	1.00000000E-002
-1.39999890E+000	2.17999993E-011	1.00000000E+005	1.00000000E-002
-1.34999895E+000	2.24000003E-011	1.00000000E+005	1.00000000E-002
-1.29999900E+000	2.26000000E-011	1.00000000E+005	1.00000000E-002
-1.24999905E+000	2.29999995E-011	1.00000000E+005	1.00000000E-002
-1.19999909E+000	2.31999992E-011	1.00000000E+005	1.00000000E-002
-1.14999914E+000	2.31999992E-011	1.00000000E+005	1.00000000E-002
-1.09999919E+000	2.38000002E-011	1.00000000E+005	1.00000000E-002
-1.04999924E+000	2.46000009E-011	1.00000000E+005	1.00000000E-002
-9.99999225E-001	2.48000006E-011	1.00000000E+005	1.00000000E-002
-9.49999213E-001	2.53999998E-011	1.00000000E+005	1.00000000E-002
-8.99999201E-001	2.56999994E-011	1.00000000E+005	1.00000000E-002
-8.49999189E-001	2.63000004E-011	1.00000000E+005	1.00000000E-002
-7.99999177E-001	2.65000001E-011	1.00000000E+005	1.00000000E-002
-7.49999166E-001	2.73000008E-011	1.00000000E+005	1.00000000E-002
-6.99999154E-001	2.78000001E-011	1.00000000E+005	1.00000000E-002
-6.49999142E-001	2.82999995E-011	1.00000000E+005	1.00000000E-002
-5.99999130E-001	2.94999997E-011	1.00000000E+005	1.00000000E-002
-5.49999118E-001	2.97999993E-011	1.00000000E+005	1.00000000E-002
-4.99999106E-001	3.10000012E-011	1.00000000E+005	1.00000000E-002
-4.49999094E-001	3.16000004E-011	1.00000000E+005	1.00000000E-002
-3.99999082E-001	3.25999991E-011	1.00000000E+005	1.00000000E-002
-3.49999070E-001	3.38000010E-011	1.00000000E+005	1.00000000E-002
-2.99999058E-001	3.47999997E-011	1.00000000E+005	1.00000000E-002
-2.49999061E-001	3.64000011E-011	1.00000000E+005	1.00000000E-002
-1.99999064E-001	3.77999992E-011	1.00000000E+005	1.00000000E-002
-1.49999067E-001	3.97000002E-011	1.00000000E+005	1.00000000E-002
-9.99990702E-002	4.18000010E-011	1.00000000E+005	1.00000000E-002
-4.99990694E-002	4.42000013E-011	1.00000000E+005	1.00000000E-002
9.31322575E-007	4.75000005E-011	1.00000000E+005	1.00000000E-002
